Epoch,Batch,TrainLoss,Val_mAP
0,0,2.464447021484375,
0,1,1.4294694662094116,
0,,1.9469582438468933,0.0005529808113351464
1,0,1.0949114561080933,
1,1,0.24298782646656036,
1,,0.6689496412873268,0.0
2,0,0.9147325754165649,
2,1,0.5957905650138855,
2,,0.7552615702152252,0.0
3,0,1.0673822164535522,
3,1,0.651270866394043,
3,,0.8593265414237976,0.0
4,0,0.9478477835655212,
4,1,1.2374294996261597,
4,,1.0926386415958405,0.0
5,0,0.6035367846488953,
5,1,1.5097662210464478,
5,,1.0566515028476715,0.026113361120224
6,0,0.7309996485710144,
6,1,0.24384835362434387,
6,,0.48742400109767914,0.003755300072953105
7,0,0.563988447189331,
7,1,0.5030248165130615,
7,,0.5335066318511963,0.0009611182031221688
8,0,0.6317596435546875,
8,1,0.30928871035575867,
8,,0.4705241769552231,0.0005554929375648499
9,0,0.6023123264312744,
9,1,0.27825605869293213,
9,,0.44028419256210327,0.0010989753063768148
10,0,0.5283532738685608,
10,1,0.4297925531864166,
10,,0.4790729135274887,0.0019079550402238965
11,0,0.3625205159187317,
11,1,1.0256824493408203,
11,,0.694101482629776,0.004425101913511753
12,0,0.4634491801261902,
12,1,0.4614298343658447,
12,,0.46243950724601746,0.0027914270758628845
13,0,0.4823801815509796,
13,1,0.36409494280815125,
13,,0.42323756217956543,0.0019015598809346557
14,0,0.4903329312801361,
14,1,0.17565815150737762,
14,,0.33299554139375687,0.003329374361783266
15,0,0.4785679280757904,
15,1,0.3464497923851013,
15,,0.41250886023044586,0.001254966133274138
16,0,0.49455103278160095,
16,1,0.17761841416358948,
16,,0.3360847234725952,0.0013608558801934123
17,0,0.34434252977371216,
17,1,0.6554436683654785,
17,,0.49989309906959534,0.0019178309012204409
18,0,0.25837019085884094,
18,1,0.874442458152771,
18,,0.566406324505806,0.001996188424527645
19,0,0.40655815601348877,
19,1,0.28208380937576294,
19,,0.34432098269462585,0.002474575536325574
20,0,0.3848557770252228,
20,1,0.4299516975879669,
20,,0.40740373730659485,0.0035249185748398304
21,0,0.28887516260147095,
21,1,0.7478076219558716,
21,,0.5183413922786713,0.004942940082401037
22,0,0.3546294867992401,
22,1,0.3665638267993927,
22,,0.3605966567993164,0.0026992883067578077
23,0,0.3537381589412689,
23,1,0.3479613661766052,
23,,0.3508497625589371,0.0033556430134922266
24,0,0.35719096660614014,
24,1,0.2816556692123413,
24,,0.3194233179092407,0.003922894597053528
25,0,0.3556634187698364,
25,1,0.33981338143348694,
25,,0.3477384001016617,0.0029315815772861242
26,0,0.35683220624923706,
26,1,0.3034452795982361,
26,,0.3301387429237366,0.0026161116547882557
27,0,0.37976524233818054,
27,1,0.11668077111244202,
27,,0.24822300672531128,0.0020272822584956884
28,0,0.29587653279304504,
28,1,0.34173738956451416,
28,,0.3188069611787796,0.0019750110805034637
29,0,0.3110854923725128,
29,1,0.20587845146656036,
29,,0.2584819719195366,0.001851254841312766
30,0,0.3055744767189026,
30,1,0.196974515914917,
30,,0.2512744963169098,0.002656713593751192
31,0,0.2743576467037201,
31,1,0.2734205424785614,
31,,0.27388909459114075,0.0027387295849621296
32,0,0.272260844707489,
32,1,0.2210860252380371,
32,,0.24667343497276306,0.002125523053109646
33,0,0.1859837919473648,
33,1,0.5101430416107178,
33,,0.3480634167790413,0.0019150599837303162
34,0,0.1788448840379715,
34,1,0.5694806575775146,
34,,0.3741627708077431,0.0026079078670591116
35,0,0.21446141600608826,
35,1,0.4179724454879761,
35,,0.31621693074703217,0.0021091492380946875
36,0,0.2557922303676605,
36,1,0.21063749492168427,
36,,0.2332148626446724,0.003233077470213175
37,0,0.22860488295555115,
37,1,0.2827600836753845,
37,,0.25568248331546783,0.003211203496903181
38,0,0.2672750949859619,
38,1,0.13714715838432312,
38,,0.20221112668514252,0.0028104372322559357
39,0,0.24945777654647827,
39,1,0.25298482179641724,
39,,0.25122129917144775,0.001668413751758635
40,0,0.23232512176036835,
40,1,0.2828150987625122,
40,,0.2575701102614403,0.0017858508508652449
41,0,0.2514429986476898,
41,1,0.13375674188137054,
41,,0.19259987026453018,0.0045612710528075695
42,0,0.21452830731868744,
42,1,0.2498939335346222,
42,,0.23221112042665482,0.0014529470354318619
43,0,0.17542558908462524,
43,1,0.37088701128959656,
43,,0.2731563001871109,0.0013513017911463976
44,0,0.2221517264842987,
44,1,0.1089082807302475,
44,,0.1655300036072731,0.0029649159405380487
45,0,0.21085138618946075,
45,1,0.17692025005817413,
45,,0.19388581812381744,0.0017805281095206738
46,0,0.2237861603498459,
46,1,0.11523710936307907,
46,,0.16951163485646248,0.0017805281095206738
47,0,0.20427531003952026,
47,1,0.13979990780353546,
47,,0.17203760892152786,0.001879489398561418
48,0,0.20247718691825867,
48,1,0.06921187788248062,
48,,0.13584453240036964,0.0018098005093634129
49,0,0.20060649514198303,
49,1,0.11735997349023819,
49,,0.1589832343161106,0.0016795977717265487
50,0,0.19455289840698242,
50,1,0.12477689981460571,
50,,0.15966489911079407,0.0017340958584100008
51,0,0.18306928873062134,
51,1,0.13615770637989044,
51,,0.1596134975552559,0.001819030730985105
52,0,0.19975599646568298,
52,1,0.06657639145851135,
52,,0.13316619396209717,0.0018293950706720352
53,0,0.18304646015167236,
53,1,0.11418398469686508,
53,,0.14861522242426872,0.0019492574501782656
54,0,0.18409232795238495,
54,1,0.078081414103508,
54,,0.13108687102794647,0.0029238860588520765
55,0,0.15050087869167328,
55,1,0.19986176490783691,
55,,0.1751813217997551,0.004170792177319527
56,0,0.1558080017566681,
56,1,0.15744128823280334,
56,,0.15662464499473572,0.003975866362452507
57,0,0.16137242317199707,
57,1,0.09359944611787796,
57,,0.12748593464493752,0.003650990081951022
58,0,0.14641989767551422,
58,1,0.13815969228744507,
58,,0.14228979498147964,0.0025990100111812353
59,0,0.1583939492702484,
59,1,0.05677139759063721,
59,,0.10758267343044281,0.0025990100111812353
60,0,0.1056496798992157,
60,1,0.287411093711853,
60,,0.19653038680553436,0.004170792177319527
61,0,0.1385044902563095,
61,1,0.11674819886684418,
61,,0.12762634456157684,0.004393564537167549
62,0,0.09224152565002441,
62,1,0.28376883268356323,
62,,0.18800517916679382,0.004393564537167549
63,0,0.1300913244485855,
63,1,0.09644458442926407,
63,,0.11326795443892479,0.0033415842335671186
64,0,0.13165153563022614,
64,1,0.06069342419505119,
64,,0.09617247991263866,0.004650609102100134
65,0,0.12102311104536057,
65,1,0.09240680187940598,
65,,0.10671495646238327,0.003998476546257734
66,0,0.07997589558362961,
66,1,0.24962368607521057,
66,,0.1647997908294201,0.003598629031330347
67,0,0.1282588094472885,
67,1,0.05766650289297104,
67,,0.09296265617012978,0.003598629031330347
68,0,0.1251833438873291,
68,1,0.08778022229671478,
68,,0.10648178309202194,0.003998476546257734
69,0,0.07642397284507751,
69,1,0.2376643717288971,
69,,0.1570441722869873,0.003998476546257734
70,0,0.11535761505365372,
70,1,0.11602804809808731,
70,,0.11569283157587051,0.0028877886943519115
71,0,0.12242168933153152,
71,1,0.04536793380975723,
71,,0.08389481157064438,0.0025990100111812353
72,0,0.12332180142402649,
72,1,0.07387127727270126,
72,,0.09859653934836388,0.0025990100111812353
73,0,0.11927859485149384,
73,1,0.07462268322706223,
73,,0.09695063903927803,0.002735799876973033
74,0,0.1173475980758667,
74,1,0.07299104332923889,
74,,0.0951693207025528,0.0028877886943519115
75,0,0.12609872221946716,
75,1,0.09169040620326996,
75,,0.10889456421136856,0.0032487623393535614
76,0,0.11378410458564758,
76,1,0.11161068826913834,
76,,0.11269739642739296,0.0037128713447600603
77,0,0.074773870408535,
77,1,0.25618135929107666,
77,,0.16547761484980583,0.0037128713447600603
78,0,0.12001704424619675,
78,1,0.06804463267326355,
78,,0.09403083845973015,0.003849893808364868
79,0,0.11711356043815613,
79,1,0.05561569705605507,
79,,0.0863646287471056,0.0030576586723327637
80,0,0.10230192542076111,
80,1,0.09043366461992264,
80,,0.09636779502034187,0.0027518928982317448
81,0,0.10637594759464264,
81,1,0.07174111157655716,
81,,0.0890585295855999,0.0027518928982317448
82,0,0.10075108706951141,
82,1,0.0716952458024025,
82,,0.08622316643595695,0.0031250000465661287
83,0,0.06971768289804459,
83,1,0.25030025839805603,
83,,0.1600089706480503,0.002862005028873682
84,0,0.10014307498931885,
84,1,0.08235400915145874,
84,,0.0912485420703888,0.0034498763270676136
85,0,0.06188620999455452,
85,1,0.21936053037643433,
85,,0.14062337018549442,0.0034405940677970648
86,0,0.06902600824832916,
86,1,0.1942196786403656,
86,,0.13162284344434738,0.0031635400373488665
87,0,0.09615921229124069,
87,1,0.04735913127660751,
87,,0.0717591717839241,0.003453213023021817
88,0,0.059621844440698624,
88,1,0.24365949630737305,
88,,0.15164067037403584,0.003391432808712125
89,0,0.10288011282682419,
89,1,0.02150336652994156,
89,,0.062191739678382874,0.003511757357046008
90,0,0.08607470989227295,
90,1,0.1580563336610794,
90,,0.12206552177667618,0.0032044141553342342
91,0,0.09425254166126251,
91,1,0.08635130524635315,
91,,0.09030192345380783,0.00322445179335773
92,0,0.10570827126502991,
92,1,0.03722350299358368,
92,,0.0714658871293068,0.003809130983427167
93,0,0.11929988861083984,
93,1,0.034104786813259125,
93,,0.07670233771204948,0.003539603902027011
94,0,0.11215031147003174,
94,1,0.036839451640844345,
94,,0.07449488155543804,0.003719943342730403
95,0,0.05461842939257622,
95,1,0.18554741144180298,
95,,0.1200829204171896,0.004066175781190395
96,0,0.10243852436542511,
96,1,0.024240845814347267,
96,,0.06333968508988619,0.004833608400076628
97,0,0.09442172199487686,
97,1,0.026365328580141068,
97,,0.060393525287508965,0.0041246190667152405
98,0,0.08412161469459534,
98,1,0.10476674884557724,
98,,0.09444418177008629,0.003867574268952012
99,0,0.07576228678226471,
99,1,0.07173396646976471,
99,,0.07374812662601471,0.003867574268952012
